year,month,sales,profit
2014.0,1.0,14236.9,2450.19
2014.0,2.0,4519.89,862.31
2014.0,3.0,55691.01,498.73
2014.0,4.0,28295.35,3488.84
2014.0,5.0,23648.29,2738.71
2014.0,6.0,34595.13,4976.52
2014.0,7.0,33946.39,-841.48
2014.0,8.0,27909.47,5318.11
2014.0,9.0,81777.35,8328.1
2014.0,10.0,31453.39,3448.26
2014.0,11.0,78628.72,9292.13
2014.0,12.0,69545.62,8983.57
2015.0,1.0,18174.08,-3281.01
2015.0,2.0,11951.41,2813.85
2015.0,3.0,38726.25,9732.1
2015.0,4.0,34195.21,4187.5
2015.0,5.0,30131.69,4667.87
2015.0,6.0,24797.29,3335.56
2015.0,7.0,28765.33,3288.65
2015.0,8.0,36898.33,5355.81
2015.0,9.0,64595.92,8209.16
2015.0,10.0,31404.92,2817.37
2015.0,11.0,75972.56,12474.79
2015.0,12.0,74919.52,8016.97
2016.0,1.0,18542.49,2824.82
2016.0,2.0,22978.82,5004.58
2016.0,3.0,51715.88,3611.97
2016.0,4.0,38750.04,2977.81
2016.0,5.0,56987.73,8662.15
2016.0,6.0,40344.53,4750.38
2016.0,7.0,39261.96,4432.88
2016.0,8.0,31115.37,2062.07
2016.0,9.0,73410.02,9328.66
2016.0,10.0,59687.75,16243.14
2016.0,11.0,79411.97,4011.41
2016.0,12.0,96999.04,17885.31
2017.0,1.0,43971.37,7140.44
2017.0,2.0,20301.13,1613.87
2017.0,3.0,58872.35,14751.89
2017.0,4.0,36521.54,933.29
2017.0,5.0,44261.11,6342.58
2017.0,6.0,52981.73,8223.34
2017.0,7.0,45264.42,6952.62
2017.0,8.0,63120.89,9040.96
2017.0,9.0,87866.65,10991.56
2017.0,10.0,77776.92,9275.28
2017.0,11.0,118447.83,9690.1
2017.0,12.0,83829.32,8483.35
